"filename", "language", "Python", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/xuanpeichen/Desktop/code/python/openai/README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/xuanpeichen/Desktop/code/python/openai/card_python_creator.py", "Python", 1, 0, 0, 0, 0, 0, -1, 0
"/Users/xuanpeichen/Desktop/code/python/openai/game/action.py", "Python", 0, 0, 0, 0, 0, 0, 3, 3
"/Users/xuanpeichen/Desktop/code/python/openai/game/card.py", "Python", 9, 0, 0, 0, 0, 0, 7, 16
"/Users/xuanpeichen/Desktop/code/python/openai/game/game_function_tool.py", "Python", -2, 0, 0, 0, 0, 0, 9, 7
"/Users/xuanpeichen/Desktop/code/python/openai/game/player.py", "Python", 69, 0, 0, 0, 0, 1, 25, 95
"/Users/xuanpeichen/Desktop/code/python/openai/game/room.py", "Python", 61, 0, 0, 0, 0, 2, 19, 82
"/Users/xuanpeichen/Desktop/code/python/openai/game/room_server.py", "Python", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/xuanpeichen/Desktop/code/python/openai/game/type_cards/creature.py", "Python", 12, 0, 0, 0, 0, 4, 10, 26
"/Users/xuanpeichen/Desktop/code/python/openai/game/type_cards/instant.py", "Python", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/xuanpeichen/Desktop/code/python/openai/game/type_cards/land.py", "Python", 5, 0, 0, 0, 0, 0, 5, 10
"/Users/xuanpeichen/Desktop/code/python/openai/game/type_cards/sorcery.py", "Python", 8, 0, 0, 0, 0, 0, 4, 12
"/Users/xuanpeichen/Desktop/code/python/openai/initinal_file.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"/Users/xuanpeichen/Desktop/code/python/openai/pycards/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/xuanpeichen/Desktop/code/python/openai/server.py", "Python", 10, 0, 0, 0, 0, -1, 3, 12
"/Users/xuanpeichen/Desktop/code/python/openai/server_function_tool.py", "Python", 13, 0, 0, 0, 0, 0, 7, 20
"/Users/xuanpeichen/Desktop/code/python/openai/test.py", "Python", -1, 0, 0, 0, 0, 5, 1, 5
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/gaming.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/gaming.html", "HTML", 0, 0, 23, 0, 0, 0, 15, 38
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/gaming.js", "JavaScript", 0, 0, 0, 0, 15, 0, 5, 20
"Total", "-", 201, 1, 23, 0, 15, 11, 122, 373
