Date : 2024-04-07 21:33:58
Directory : /Users/xuanpeichen/Desktop/code/python/openai
Total : 426 files,  14938 codes, 654 comments, 5234 blanks, all 20826 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Python     |        202 |      6,172 |        163 |      3,272 |      9,607 |
| JavaScript |         33 |      5,983 |        462 |      1,713 |      8,158 |
| JSON       |        175 |      1,553 |          0 |          0 |      1,553 |
| CSS        |          6 |        905 |         18 |        165 |      1,088 |
| HTML       |          7 |        316 |         11 |         84 |        411 |
| XML        |          2 |          8 |          0 |          0 |          8 |
| Markdown   |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        426 |     14,938 |        654 |      5,234 |     20,826 |
| . (Files)                                                                                              |         14 |      1,552 |         90 |        492 |      2,134 |
| cards                                                                                                  |        175 |      1,553 |          0 |          0 |      1,553 |
| cards/Instant                                                                                          |         59 |        472 |          0 |          0 |        472 |
| cards/Instant/Aquatic Evasion                                                                          |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Arcane Inferno                                                                           |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Arcane Insight                                                                           |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Arcane Intervention                                                                      |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Arcane Reflection                                                                        |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Astral Resurgence                                                                        |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Avenging Light                                                                           |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Blazing Reversal                                                                         |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Celestial Convergence                                                                    |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Celestial Intervention                                                                   |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Celestial Rebirth                                                                        |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Divine Intervention                                                                      |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Divine Reprisal                                                                          |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ephemeral Bolt                                                                           |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ephemeral Insight                                                                        |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ephemeral Response                                                                       |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ephemeral Vision                                                                         |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ethereal Convergence                                                                     |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ethereal Reversal                                                                        |          1 |          8 |          0 |          0 |          8 |
| cards/Instant/Ethereal Surge                                                                           |          1 |          8 |          0 |          0 |          8 |
