"filename", "language", "Python", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/xuanpeichen/Desktop/code/python/openai/game/card.py", "Python", 4, 0, 0, 0, 0, 4
"/Users/xuanpeichen/Desktop/code/python/openai/game/player.py", "Python", 7, 0, 0, 1, 1, 9
"/Users/xuanpeichen/Desktop/code/python/openai/game/room.py", "Python", 29, 0, 0, 2, 4, 35
"/Users/xuanpeichen/Desktop/code/python/openai/game/type_cards/land.py", "Python", 15, 0, 0, 0, 3, 18
"/Users/xuanpeichen/Desktop/code/python/openai/pycards/land/Forest/model.py", "Python", 2, 0, 0, 0, 3, 5
"/Users/xuanpeichen/Desktop/code/python/openai/pycards/land/Island/model.py", "Python", 2, 0, 0, 0, -1, 1
"/Users/xuanpeichen/Desktop/code/python/openai/pycards/land/Mountain/model.py", "Python", 2, 0, 0, 0, -1, 1
"/Users/xuanpeichen/Desktop/code/python/openai/pycards/land/Plains/model.py", "Python", 2, 0, 0, 0, -1, 1
"/Users/xuanpeichen/Desktop/code/python/openai/pycards/land/Swamp/model.py", "Python", 2, 0, 0, 0, -1, 1
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/block.js", "JavaScript", 0, 50, 0, 1, 23, 74
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/card.js", "JavaScript", 0, 58, 0, 12, 32, 102
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/action_bar.js", "JavaScript", 0, 129, 0, 12, 29, 170
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/animation.js", "JavaScript", 0, 328, 0, 27, 107, 462
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/card_battle.js", "JavaScript", 0, 496, 0, 24, 152, 672
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/card_battle_main.js", "JavaScript", 0, 98, 0, 15, 32, 145
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/card_hand.js", "JavaScript", 0, 511, 0, 54, 208, 773
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/card_hand_main.js", "JavaScript", 0, 107, 0, 9, 28, 144
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/gaming.html", "HTML", 0, 0, 15, 3, 9, 27
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/gaming.js", "JavaScript", 0, 341, 0, 78, 106, 525
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/hand.js", "JavaScript", 0, 6, 0, 0, 3, 9
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/mana_bar.js", "JavaScript", 0, 121, 0, 4, 14, 139
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/player.js", "JavaScript", 0, 163, 0, 19, 64, 246
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/table.js", "JavaScript", 0, 126, 0, 13, 37, 176
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/table_block.js", "JavaScript", 0, 268, 0, 11, 90, 369
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/gaming_page/timmer.js", "JavaScript", 0, 395, 0, 36, 101, 532
"/Users/xuanpeichen/Desktop/code/python/openai/webpages/loginpage/login.html", "HTML", 0, 0, 0, 0, -3, -3
"Total", "-", 65, 3197, 15, 321, 1039, 4637
